,boxoff1_0.csv,boxoff1_1.csv,boxoff1_2.csv
0,1.214,1.205,
1,1.214,1.208,1.203
2,1.214,1.2035,1.192
3,1.206,1.199,1.1885
4,1.201,1.191,1.185
5,1.195,1.1855,1.181
6,1.189,1.18,1.178
7,1.19,1.173,1.175
8,1.1875,1.1745,1.173
9,1.185,1.176,1.164
10,1.179,1.166,1.1635
11,1.178,1.1655,1.163
12,1.177,1.165,1.157
13,1.181,1.162,1.158
14,1.178,1.166,1.159
15,1.1749999999999998,1.1635,1.16
16,1.172,1.161,1.149
17,1.166,1.155,1.146
18,1.165,1.153,1.143
19,1.164,1.151,1.141
20,1.153,1.144,1.138
21,1.15,1.137,1.135
22,1.1484999999999999,1.1364999999999998,1.135
23,1.147,1.136,1.132
24,1.15,1.136,1.1315
25,1.1484999999999999,1.1345,1.131
26,1.147,1.133,1.128
27,1.146,1.133,1.1275
28,1.139,1.13,1.127
29,1.137,1.1265,1.121
30,1.135,1.123,1.114
31,1.132,1.118,1.114
32,1.129,1.1155,1.114
33,1.126,1.113,1.109
34,1.131,1.112,1.109
35,1.124,1.1115,1.109
36,1.1265,1.111,1.11
37,1.129,1.113,1.117
38,1.134,1.119,1.115
39,1.1324999999999998,1.119,1.113
40,1.131,1.119,1.114
41,1.132,1.115,1.11
42,1.131,1.118,1.1105
43,1.1284999999999998,1.1150000000000002,1.111
44,1.126,1.112,1.111
45,1.125,1.111,1.109
46,1.1225,1.1095000000000002,1.107
47,1.12,1.108,1.104
48,1.121,1.105,1.1
49,1.115,1.098,1.1
50,1.113,1.098,1.1
51,1.111,1.098,1.097
52,1.113,1.098,1.0965
53,1.105,1.098,1.096
54,1.1045,1.098,1.091
55,1.104,1.092,1.091
56,1.105,1.094,1.0905
57,1.105,1.0925,1.09
58,1.104,1.091,1.085
59,1.103,1.092,1.09
60,1.101,1.092,1.0895000000000001
61,1.1025,1.092,1.089
62,1.104,1.09,1.083
63,1.101,1.088,1.083
64,1.101,1.086,1.0859999999999999
65,1.1025,1.09,1.089
66,1.104,1.09,1.083
67,1.095,1.088,1.081
68,1.094,1.086,1.079
69,1.0935000000000001,1.083,1.078
70,1.093,1.079,1.076
71,1.093,1.0815000000000001,1.0805
72,1.0955,1.084,1.085
73,1.098,1.087,1.083
74,1.097,1.084,1.089
75,1.097,1.085,1.0875
76,1.097,1.086,1.086
77,1.097,1.084,1.08
78,1.095,1.08,1.078
79,1.094,1.0765,1.0750000000000002
80,1.088,1.073,1.072
81,1.082,1.071,1.063
82,1.077,1.067,1.06
83,1.077,1.0655000000000001,1.0594999999999999
84,1.0779999999999998,1.064,1.059
85,1.079,1.067,1.065
86,1.082,1.0655000000000001,1.0625
87,1.082,1.064,1.06
88,1.082,1.069,1.063
89,1.083,1.064,1.062
90,1.08,1.0615,1.061
91,1.0750000000000002,1.059,1.06
92,1.07,1.052,1.052
93,1.072,1.0525,1.051
