,boxon2_0.csv,boxon2_1.csv,boxon2_2.csv
0,1.956,1.95,
1,1.956,1.9525000000000001,1.953
2,1.956,1.955,1.9540000000000002
3,1.954,1.95,1.955
4,1.952,1.9475,1.9500000000000002
5,1.947,1.945,1.945
6,1.942,1.9445000000000001,1.9420000000000002
7,1.942,1.944,1.939
8,1.9375,1.9385,1.933
9,1.933,1.933,1.9285
10,1.9315,1.9300000000000002,1.924
11,1.93,1.927,1.9235
12,1.9285,1.925,1.923
13,1.927,1.923,1.9235
14,1.9285,1.924,1.924
15,1.93,1.925,1.9255
16,1.9304999999999999,1.9275,1.927
17,1.931,1.93,1.925
18,1.9316666666666666,1.9289999999999998,1.923
19,1.9323333333333335,1.928,1.924
20,1.933,1.9255,1.925
21,1.933,1.923,1.924
22,1.933,1.9195,1.923
23,1.9300000000000002,1.916,1.92
24,1.927,1.92,1.917
25,1.933,1.924,1.9206666666666667
26,1.939,1.9325,1.9243333333333332
27,1.9425,1.941,1.928
28,1.946,1.947,1.936
29,1.9495,1.953,1.944
30,1.953,1.9515,1.948
31,1.956,1.95,1.952
32,1.959,1.948,1.951
33,1.956,1.946,1.95
34,1.953,1.9446666666666665,1.951
35,1.949,1.9433333333333334,1.952
36,1.945,1.942,1.947
37,1.947,1.9455,1.942
38,1.949,1.949,1.9405000000000001
39,1.953,1.9495,1.939
40,1.957,1.95,1.9415
41,1.957,1.947,1.944
42,1.957,1.944,1.9375
43,1.945,1.925,1.931
44,1.933,1.919,1.914
45,1.9285,1.913,1.9104999999999999
46,1.924,1.9075,1.907
47,1.912,1.902,1.9015
48,1.9064999999999999,1.889,1.896
49,1.901,1.883,1.881
50,1.892,1.877,1.876
51,1.8915,1.879,1.871
52,1.891,1.881,1.886
53,1.914,1.916,1.898
54,1.9355,1.9255,1.91
55,1.957,1.935,1.924
56,1.958,1.9425,1.938
57,1.959,1.95,1.9435
58,1.96,1.9576666666666667,1.949
59,1.9685000000000001,1.9653333333333334,1.9615
60,1.977,1.973,1.974
61,1.984,1.9785,1.974
62,1.991,1.984,1.974
63,1.989,1.9825,1.974
64,1.987,1.981,1.9725000000000001
65,1.985,1.981,1.971
66,1.9805000000000001,1.981,1.9706666666666668
67,1.976,1.983,1.9703333333333333
68,1.976,1.985,1.97
69,1.976,1.987,1.9735
70,1.9825,1.9860000000000002,1.977
71,1.989,1.985,1.9765000000000001
72,1.9835,1.976,1.976
73,1.978,1.967,1.963
74,1.9849999999999999,1.9740000000000002,1.95
75,1.992,1.981,1.96
76,2.0065,1.9833333333333334,1.97
77,2.021,1.9856666666666667,1.9735
78,2.026,1.988,1.977
79,2.031,2.0045,1.9929999999999999
80,2.0366666666666666,2.021,2.009
81,2.0423333333333336,2.0285,2.024
82,2.048,2.036,2.039
83,2.053,2.0415,2.043
84,2.058,2.047,2.047
85,2.058,2.0484999999999998,2.0460000000000003
86,2.058,2.05,2.045
87,2.0564999999999998,2.0469999999999997,2.0445
88,2.055,2.044,2.044
89,2.049666666666667,2.04,2.037
90,2.0443333333333333,2.036,2.03
91,2.039,2.012,2.014
92,2.0165,1.988,1.998
93,1.994,1.9803333333333333,1.982
94,1.988,1.9726666666666668,1.9729999999999999
95,1.982,1.965,1.964
96,1.9873333333333334,1.969,1.974
97,1.9926666666666666,1.973,1.984
98,1.998,1.9855,1.985
99,2.0055,1.998,1.986
100,2.013,2.0055,1.987
101,2.026,2.013,2.0065
102,2.039,2.012,2.026
103,2.0115,2.0109999999999997,2.002
104,1.984,2.01,1.978
105,1.9726666666666666,1.9689999999999999,1.9516666666666667
106,1.9613333333333334,1.928,1.9253333333333333
107,1.95,1.9304999999999999,1.899
108,1.966,1.933,1.9205
109,1.982,1.9635,1.942
110,2.018,1.994,1.971
111,2.054,2.0196666666666667,2.0
112,2.066,2.0453333333333337,2.0305
113,2.078,2.071,2.061
114,1.9643333333333333,1.971,1.9169999999999998
115,1.8506666666666667,1.871,1.773
116,1.737,1.7075,1.646
117,1.6245,1.544,1.519
118,1.512,1.5365,1.5225
119,1.535,1.529,1.526
120,1.5844999999999998,1.594,1.5725
121,1.634,1.6265,1.619
122,1.6545,1.659,1.642
123,1.675,1.7025000000000001,1.665
124,1.709,1.746,1.7175
125,1.743,1.821,1.77
126,1.83,1.896,1.847
127,1.917,1.929,1.924
128,1.9585,1.962,1.9645
129,2.0,1.995,2.005
130,1.9426666666666668,1.9165,1.9486666666666665
131,1.8853333333333333,1.838,1.8923333333333334
132,1.828,1.77,1.836
133,1.728,1.702,1.7309999999999999
134,1.628,1.634,1.626
135,1.597,1.595,1.581
136,1.566,1.556,1.536
137,1.647,1.6400000000000001,1.6265
138,1.728,1.724,1.717
139,1.7934999999999999,1.7774999999999999,1.7730000000000001
140,1.859,1.831,1.829
141,1.9135,1.8904999999999998,1.8904999999999998
142,1.968,1.95,1.952
143,1.938,1.905,1.919
144,1.908,1.86,1.886
145,1.878,1.9095,1.853
146,1.911,1.959,1.899
147,1.944,1.9226666666666667,1.945
148,1.879,1.8863333333333334,1.8679999999999999
149,1.814,1.85,1.791
150,1.666,1.6855,1.642
151,1.518,1.521,1.493
152,1.5295,1.493,1.4935
153,1.541,1.55,1.494
154,1.5835,1.607,1.541
155,1.626,1.5655000000000001,1.588
156,1.489,1.524,1.5425
157,1.4685000000000001,1.4615,1.497
158,1.448,1.399,1.386
159,1.4329999999999998,1.355,1.3639999999999999
160,1.418,1.4024999999999999,1.342
161,1.543,1.45,1.372
162,1.595,1.506,1.4815
163,1.647,1.562,1.591
164,1.5685,1.5915,1.5375
165,1.49,1.621,1.484
166,1.4245,1.46,1.3915
167,1.359,1.299,1.299
168,1.4889999999999999,1.397,1.4515
169,1.619,1.4555,1.604
170,1.597,1.514,1.5865
171,1.575,1.5715,1.569
172,1.672,1.629,1.6895
173,1.769,1.698,1.81
174,1.7570000000000001,1.767,1.7775
175,1.745,1.7445,1.745
176,1.7375,1.722,1.713
177,1.73,1.711,1.7080000000000002
178,1.725,1.7105000000000001,1.703
179,1.7225000000000001,1.71,1.7035
180,1.72,1.71,1.704
181,1.722,1.709,1.707
182,1.7165,1.708,1.705
183,1.711,1.705,1.703
184,1.7165,1.702,1.703
185,1.722,1.712,1.7175
186,1.805,1.763,1.732
187,1.7945,1.814,1.7650000000000001
188,1.784,1.7934999999999999,1.798
189,1.8290000000000002,1.773,1.8245
190,1.874,1.8415,1.851
191,1.891,1.91,1.8875
192,1.9080000000000001,1.918,1.924
193,1.925,1.926,1.9135
194,1.9195,1.9165,1.903
195,1.914,1.907,1.9045
196,1.906,1.8980000000000001,1.906
197,1.898,1.889,1.8885
198,1.8485,1.853,1.871
199,1.799,1.817,1.8054999999999999
200,1.734,1.701,1.74
201,1.669,1.585,1.6635
202,1.604,1.597,1.587
203,1.6745,1.609,1.6595
204,1.745,1.7375,1.732
205,1.8115,1.866,1.7853333333333332
206,1.878,1.9083333333333334,1.8386666666666667
207,1.9415,1.9506666666666668,1.892
208,2.005,1.993,1.9509999999999998
209,2.0694999999999997,2.0505,2.01
