,boxon1_0.csv,boxon1_1.csv,boxon1_2.csv
0,1.224,1.223,1.22
1,1.221,1.217,1.216
2,1.218,1.216,1.2125
3,1.216,1.212,1.209
4,1.214,1.208,1.204
5,1.212,1.197,1.195
6,1.202,1.197,1.1945000000000001
7,1.204,1.197,1.194
8,1.2,1.192,1.189
9,1.196,1.189,1.189
10,1.193,1.186,1.189
11,1.189,1.182,1.182
12,1.185,1.1829999999999998,1.182
13,1.185,1.184,1.182
14,1.183,1.182,1.182
15,1.1835,1.1795,1.18
16,1.184,1.177,1.1764999999999999
17,1.181,1.171,1.173
18,1.1764999999999999,1.1715,1.168
19,1.172,1.172,1.1655
20,1.17,1.163,1.163
21,1.163,1.159,1.157
22,1.161,1.155,1.1555
23,1.159,1.152,1.154
24,1.158,1.15,1.147
25,1.1545,1.1484999999999999,1.147
26,1.151,1.147,1.1465
27,1.153,1.143,1.146
28,1.147,1.143,1.141
29,1.1455,1.143,1.1404999999999998
30,1.144,1.139,1.14
31,1.14,1.137,1.136
32,1.135,1.1335,1.13
33,1.1335,1.13,1.1275
34,1.132,1.134,1.125
35,1.131,1.131,1.125
36,1.1305,1.1280000000000001,1.126
37,1.13,1.125,1.1019999999999999
38,1.117,1.033,1.078
39,0.985,0.9715,0.927
40,0.9465,0.91,0.9115
41,0.908,0.897,0.896
42,0.903,0.897,0.896
43,0.9,0.9,0.9
44,0.901,0.8985000000000001,0.896
45,0.9005000000000001,0.897,0.899
46,0.9,0.905,0.902
47,0.901,0.896,0.893
48,0.894,0.887,0.892
49,0.89,0.886,0.886
50,0.889,0.885,0.8855
51,0.888,0.883,0.885
52,0.887,0.905,0.89
53,0.918,1.0,0.951
54,1.017,1.05,1.072
55,1.06,1.1,1.09
56,1.103,1.1015000000000001,1.108
57,1.11,1.103,1.103
58,1.106,1.103,1.103
59,1.1045,1.102,1.103
60,1.103,1.101,1.1
61,1.104,1.1,1.106
62,1.104,1.1,1.1005
63,1.104,1.1,1.095
64,1.1,1.1,1.095
65,1.103,1.092,1.0965
66,1.1015000000000001,1.099,1.098
67,1.1,1.0985,1.099
68,1.106,1.098,1.098
69,1.099,1.092,1.098
70,1.099,1.089,1.098
71,1.099,1.092,1.095
72,1.1,1.095,1.094
73,1.099,1.098,1.096
74,1.1,1.102,1.098
75,1.101,1.0985,1.099
76,1.103,1.095,1.094
77,1.101,1.094,1.092
78,1.1,1.091,1.093
79,1.099,1.098,1.094
80,1.099,1.0935000000000001,1.095
81,1.099,1.089,1.085
82,1.0939999999999999,1.082,1.0819999999999999
83,1.089,1.078,1.079
84,1.08,1.076,1.075
85,1.08,1.074,1.076
86,1.08,1.079,1.077
87,1.08,1.078,1.078
88,1.079,1.0795,1.078
89,1.085,1.081,1.078
90,1.0825,1.074,1.078
91,1.08,1.068,1.072
92,1.078,1.06,1.061
93,1.061,1.052,1.0185
94,1.026,0.994,0.976
95,0.991,0.936,0.919
96,0.933,0.864,0.862
97,0.875,0.861,0.859
98,0.869,0.858,0.856
99,0.873,0.865,0.869
100,0.877,0.8634999999999999,0.864
101,0.873,0.862,0.859
102,0.869,0.8585,0.857
103,0.87,0.855,0.855
104,0.8645,0.848,0.852
105,0.859,0.8445,0.849
106,0.8545,0.841,0.842
107,0.85,0.851,0.8454999999999999
108,0.857,0.861,0.849
109,0.9295,1.014,0.999
110,1.002,1.0295,1.021
111,1.046,1.045,1.043
112,1.0495,1.043,1.044
113,1.053,1.044,1.041
114,1.053,1.0434999999999999,1.0419999999999998
115,1.053,1.043,1.043
116,1.049,1.04,1.041
117,1.045,1.043,1.0394999999999999
118,1.049,1.0419999999999998,1.038
119,1.048,1.041,1.038
120,1.048,1.044,1.0394999999999999
121,1.048,1.035,1.041
122,1.039,1.0365,1.033
123,1.0415,1.038,1.034
124,1.044,1.037,1.032
125,1.044,1.037,1.03
126,1.038,1.037,1.03
127,1.0415,1.045,1.04
128,1.045,1.044,1.0385
129,1.048,1.0434999999999999,1.037
130,1.048,1.043,1.034
131,1.0434999999999999,1.037,1.031
132,1.039,1.028,1.0255
133,1.038,1.0295,1.02
134,1.032,1.031,1.023
135,1.032,1.027,1.017
136,1.032,1.02,1.017
137,1.025,1.0215,1.017
138,1.025,1.023,1.024
139,1.028,1.024,1.023
140,1.031,1.025,1.0215
141,1.029,1.025,1.02
142,1.032,1.025,1.02
143,1.0265,1.019,1.007
144,1.021,1.007,1.0034999999999998
145,1.002,1.0,1.0
146,0.992,0.993,0.952
147,0.9239999999999999,0.874,0.8879999999999999
148,0.856,0.8434999999999999,0.824
149,0.814,0.813,0.813
150,0.8115,0.81,0.808
151,0.809,0.811,0.8135
152,0.817,0.815,0.819
153,0.819,0.819,0.819
154,0.816,0.821,0.822
155,0.8174999999999999,0.821,0.8174999999999999
156,0.819,0.816,0.813
157,0.816,0.8145,0.815
158,0.814,0.813,0.811
159,0.813,0.811,0.81
160,0.812,0.819,0.813
161,0.827,0.8945,0.816
162,0.98,0.97,0.958
163,1.004,1.02,1.023
164,1.028,1.024,1.024
165,1.029,1.028,1.025
166,1.036,1.035,1.03
167,1.0354999999999999,1.033,1.034
168,1.035,1.0305,1.032
169,1.036,1.028,1.03
170,1.038,1.031,1.033
171,1.029,1.024,1.027
172,1.0314999999999999,1.0255,1.025
173,1.034,1.027,1.0299999999999998
174,1.035,1.033,1.035
175,1.032,1.031,1.033
176,1.0314999999999999,1.0295,1.0285
177,1.031,1.028,1.024
178,1.031,1.027,1.027
179,1.0314999999999999,1.027,1.025
180,1.032,1.025,1.027
181,1.028,1.029,1.0285
182,1.035,1.033,1.03
183,1.035,1.031,1.031
184,1.035,1.044,1.038
185,1.049,1.044,1.0425
186,1.049,1.044,1.047
187,1.044,1.045,1.04
188,1.039,1.038,1.037
189,1.042,1.0415,1.039
190,1.046,1.045,1.041
191,1.0470000000000002,1.048,1.044
192,1.048,1.047,1.047
193,1.057,1.0514999999999999,1.0495
194,1.055,1.056,1.052
195,1.0485,1.045,1.045
196,1.042,1.031,1.034
197,1.017,0.9949999999999999,1.0035
198,0.903,0.959,0.973
199,0.871,0.8985,0.852
200,0.839,0.838,0.8454999999999999
201,0.8445,0.836,0.839
202,0.85,0.845,0.845
203,0.853,0.854,0.851
204,0.856,0.8545,0.85
205,0.8545,0.855,0.849
206,0.853,0.855,0.849
207,0.866,0.855,0.849
208,0.879,0.855,0.9099999999999999
209,0.9705,0.9295,0.971
210,1.062,1.004,1.02
211,1.0655000000000001,1.036,1.069
212,1.069,1.068,1.065
213,1.062,1.056,1.061
214,1.0575,1.045,1.05
215,1.053,1.0459999999999998,1.044
216,1.045,1.047,1.0425
217,1.045,1.043,1.041
218,1.064,1.054,1.054
219,1.064,1.0575,1.063
220,1.064,1.061,1.063
221,1.057,1.06,1.063
222,1.057,1.048,1.055
223,1.0565,1.0510000000000002,1.055
224,1.056,1.054,1.057
225,1.061,1.056,1.059
226,1.0545,1.054,1.056
227,1.048,1.0505,1.049
228,1.048,1.047,1.048
229,1.051,1.048,1.047
230,1.053,1.047,1.046
231,1.055,1.0474999999999999,1.048
232,1.056,1.048,1.048
233,1.061,1.054,1.048
234,1.059,1.048,1.052
235,1.057,1.0510000000000002,1.055
236,1.065,1.054,1.0545
237,1.056,1.055,1.054
238,1.056,1.0514999999999999,1.049
239,1.056,1.048,1.049
240,1.065,1.05,1.049
241,1.062,1.054,1.054
242,1.0670000000000002,1.061,1.06
243,1.072,1.068,1.0630000000000002
244,1.064,1.067,1.066
245,1.0645,1.0635,1.062
246,1.065,1.06,1.055
247,1.056,1.052,1.0545
248,1.048,1.0510000000000002,1.054
249,1.05,1.05,1.051
250,1.052,1.06,1.055
251,1.061,1.06,1.0575
252,1.06,1.06,1.06
253,1.061,1.055,1.055
254,1.064,1.06,1.062
255,1.067,1.062,1.0645
256,1.067,1.064,1.067
257,1.055,1.056,1.062
258,1.0615,1.058,1.06
259,1.068,1.06,1.0575
260,1.067,1.061,1.055
261,1.0675,1.064,1.066
262,1.068,1.0665,1.068
263,1.078,1.069,1.0710000000000002
264,1.077,1.077,1.074
265,1.0775000000000001,1.078,1.076
266,1.078,1.0785,1.0745
267,1.079,1.079,1.073
268,1.078,1.074,1.073
269,1.0815000000000001,1.078,1.073
270,1.085,1.081,1.078
